game_id,game_date,game_number,home_team,away_team,opponent,home_pts,away_pts,result,season
houston-dash-vs-north-carolina-courage-2019-04-28,4/28/2019,3,HOU,NC,HOU,1,4,win,2019
north-carolina-courage-vs-sky-blue-2019-05-04,5/4/2019,4,NC,NJ,NJ,0,0,tie,2019
chicago-red-stars-vs-north-carolina-courage-2019-05-12,5/12/2019,5,CHI,NC,CHI,3,1,loss,2019
north-carolina-courage-vs-utah-royals-2019-05-19,5/19/2019,6,NC,UTA,UTA,1,1,tie,2019
reign-vs-north-carolina-courage-2019-05-27,5/27/2019,7,SEA,NC,SEA,2,1,loss,2019
orlando-pride-vs-north-carolina-courage-2019-06-01,6/1/2019,8,ORL,NC,ORL,0,3,win,2019
north-carolina-courage-vs-portland-thorns-2019-06-15,6/15/2019,9,NC,POR,POR,1,1,tie,2019
washington-spirit-vs-north-carolina-courage-2019-06-29,6/29/2019,10,WAS,NC,WAS,1,2,win,2019
north-carolina-courage-vs-houston-dash-2019-07-05,7/5/2019,11,NC,HOU,HOU,5,2,win,2019
north-carolina-courage-vs-reign-2019-07-13,7/13/2019,12,NC,SEA,SEA,2,0,win,2019
chicago-red-stars-vs-north-carolina-courage-2019-07-21,7/21/2019,13,CHI,NC,CHI,2,1,loss,2019
utah-royals-vs-north-carolina-courage-2019-07-27,7/27/2019,14,UTA,NC,UTA,1,2,win,2019
north-carolina-courage-vs-washington-spirit-2019-08-03,8/3/2019,15,NC,WAS,WAS,1,0,win,2019
portland-thorns-vs-north-carolina-courage-2019-08-11,8/11/2019,16,POR,NC,POR,2,1,loss,2019
north-carolina-courage-vs-reign-2019-08-24,8/24/2019,17,NC,SEA,SEA,1,0,win,2019
sky-blue-vs-north-carolina-courage-2019-09-07,9/7/2019,18,NJ,NC,NJ,1,2,win,2019
portland-thorns-vs-north-carolina-courage-2019-09-11,9/11/2019,19,POR,NC,POR,0,6,win,2019
north-carolina-courage-vs-orlando-pride-2019-09-14,9/14/2019,20,NC,ORL,ORL,6,1,win,2019
north-carolina-courage-vs-houston-dash-2019-09-17,9/17/2019,21,NC,HOU,HOU,1,0,win,2019
utah-royals-vs-north-carolina-courage-2019-09-21,9/21/2019,22,UTA,NC,UTA,0,3,win,2019
washington-spirit-vs-north-carolina-courage-2019-09-28,9/28/2019,23,WAS,NC,WAS,2,1,loss,2019
north-carolina-courage-vs-sky-blue-2019-10-12,10/12/2019,24,NC,NJ,NJ,3,2,win,2019
north-carolina-courage-vs-reign-2019-10-20,10/20/2019,25,NC,SEA,SEA,4,1,win,2019
north-carolina-courage-vs-chicago-red-stars-2019-10-27,10/27/2019,26,NC,CHI,CHI,4,0,win,2019
