Month,TotalC,Cost
2002-10-01,13542004.36,13.54
2002-11-01,13287640,13.29
2002-12-01,15134917.84,15.13
2003-01-01,16828349.68,16.83
2003-02-01,9800214.61,9.8
2003-03-01,10816993.71,10.82
2003-04-01,10654222.56,10.65
2003-05-01,12512322.69,12.51
2003-06-01,12161209.69,12.16
2003-07-01,12998046.2,13
2003-08-01,12517275.68,12.52
2003-09-01,13268657.61,13.27
2003-10-01,14733621.69,14.73
2003-11-01,13669381.74,13.67
2003-12-01,16503965.61,16.5
2004-01-01,18003767.95,18
2004-02-01,11938029.87,11.94
2004-03-01,12997900.1,13
2004-04-01,12882645.07,12.88
2004-05-01,13943446.81,13.94
2004-06-01,13989472.2,13.99
2004-07-01,15339097.42,15.34
2004-08-01,15370763.94,15.37
2004-09-01,16142005,16.14
2004-10-01,16685754,16.69
2004-11-01,17636728,17.64
2004-12-01,18869325,18.87
2005-01-01,20778723,20.78
2005-02-01,12154552,12.15
2005-03-01,13402392,13.4
2005-04-01,14459239,14.46
2005-05-01,14795102,14.8
2005-06-01,15705248,15.71
2005-07-01,15829550,15.83
2005-08-01,17554701,17.55
2005-09-01,18100864,18.1
2005-10-01,17496668,17.5
2005-11-01,19347265,19.35
2005-12-01,20031291,20.03
2006-01-01,23486694,23.49
2006-02-01,12536987,12.54
2006-03-01,15467018,15.47
2006-04-01,14233539,14.23
2006-05-01,17783058,17.78
2006-06-01,16291602,16.29
2006-07-01,16980282,16.98
2006-08-01,18612189,18.61
2006-09-01,16623343,16.62
2006-10-01,21430241,21.43
2006-11-01,23575517,23.58
2006-12-01,23334206,23.33
2007-01-01,28038383,28.04
2007-02-01,16763869,16.76
2007-03-01,19792754,19.79
2007-04-01,16427305,16.43
2007-05-01,21000742,21
2007-06-01,20681002,20.68
2007-07-01,21834890,21.83
2007-08-01,23930203.53,23.93
2007-09-01,22930356.94,22.93
2007-10-01,23263339.92,23.26
2007-11-01,25250030.22,25.25
2007-12-01,25806090,25.81
2008-01-01,29665356,29.67
2008-02-01,21654285,21.65
2008-03-01,18264945,18.26
2008-04-01,23107677,23.11
2008-05-01,22912510,22.91
2008-06-01,19431740,19.43
