ds,Beer,Tobacco,Bricks,Cement,Electricity,Gas
1971-01-01,410,7255,385,1058,13299,19
1971-04-01,370,8076,433,1209,15230,23
1971-07-01,379,8405,453,1199,16667,28
1971-10-01,487,7974,436,1253,14484,24
1972-01-01,419,6500,399,1070,13838,24
1972-04-01,378,7119,461,1282,15919,34
1972-07-01,393,7367,476,1303,17149,40
1972-10-01,506,7549,477,1281,15564,35
1973-01-01,458,7168,452,1148,15024,34
1973-04-01,387,7635,461,1305,17064,41
1973-07-01,427,8446,534,1342,18512,48
1973-10-01,565,7593,516,1452,16467,39
1974-01-01,465,6823,478,1184,16249,38
1974-04-01,445,7856,526,1352,18515,48
1974-07-01,450,8574,518,1316,20377,52
1974-10-01,556,8163,417,1353,17681,43
1975-01-01,500,6971,340,1121,16692,39
1975-04-01,452,8021,437,1297,19184,49
1975-07-01,435,8133,459,1318,20078,55
1975-10-01,554,8349,449,1281,18260,47
1976-01-01,510,6687,424,1109,18023,44
1976-04-01,433,7991,501,1299,20234,58
1976-07-01,453,6900,540,1341,22272,65
1976-10-01,548,7119,533,1290,19684,54
1977-01-01,486,7156,457,1101,19031,49
1977-04-01,453,8671,513,1284,21545,64
1977-07-01,457,8459,522,1321,23270,74
1977-10-01,566,7367,478,1317,20107,58
1978-01-01,515,7219,421,1122,20084,56
1978-04-01,464,7344,487,1261,22634,71
1978-07-01,431,7314,470,1312,24494,78
1978-10-01,588,7379,482,1298,21396,65
1979-01-01,503,7084,458,1205,21323,59
1979-04-01,443,7882,526,1302,23644,74
1979-07-01,448,7816,573,1377,25994,88
1979-10-01,555,6786,563,1359,22802,71
1980-01-01,513,6794,513,1232,22604,68
1980-04-01,427,8168,551,1386,24510,91
1980-07-01,473,8097,589,1440,26690,103
1980-10-01,526,7820,564,1439,24132,83
1981-01-01,548,6437,519,1282,23639,88
1981-04-01,440,7995,581,1573,26320,110
1981-07-01,469,8238,581,1533,28345,120
1981-10-01,575,8026,578,1641,24890,101
1982-01-01,493,6697,501,1337,24675,93
1982-04-01,433,7749,560,1575,27122,116
1982-07-01,480,8043,512,1475,28590,127
1982-10-01,576,7469,412,1357,25371,98
1983-01-01,475,6559,303,1086,24687,92
1983-04-01,405,7852,409,1158,27285,118
1983-07-01,435,7449,420,1279,29290,124
1983-10-01,535,6975,413,1313,26684,104
1984-01-01,453,6631,400,1166,26641,97
1984-04-01,430,6928,469,1373,29042,116
1984-07-01,417,6542,482,1456,31856,130
1984-10-01,552,6819,484,1495,28343,111
1985-01-01,464,6033,447,1251,28982,103
1985-04-01,417,7678,507,1456,30838,120
1985-07-01,423,7341,533,1631,33165,132
1985-10-01,554,6829,505,1555,29648,107
1986-01-01,459,5733,442,1375,29506,98
1986-04-01,428,7465,503,1546,32002,127
1986-07-01,429,7780,506,1568,34375,137
1986-10-01,534,7234,443,1561,31046,112
1987-01-01,481,5765,414,1332,31015,106
1987-04-01,416,7476,485,1458,33685,130
1987-07-01,440,6742,495,1501,35850,158
1987-10-01,538,7217,458,1615,33211,123
1988-01-01,474,6034,428,1418,33142,116
1988-04-01,440,7389,519,1625,34664,137
1988-07-01,447,7077,555,1770,37154,157
1988-10-01,598,6837,538,1791,35303,125
1989-01-01,467,6051,510,1621,36905,117
1989-04-01,439,7193,571,1719,37333,149
1989-07-01,446,6639,556,1972,40413,175
1989-10-01,567,7060,509,1894,36579,139
1990-01-01,485,6562,458,1565,37016,125
1990-04-01,441,7063,510,1645,39103,152
1990-07-01,429,7374,494,1658,41067,161
1990-10-01,599,6563,460,1668,37653,123
1991-01-01,464,6202,372,1343,37554,111
1991-04-01,424,6694,436,1441,38752,141
1991-07-01,436,6748,422,1444,41424,160
1991-10-01,574,6160,423,1497,38101,125
1992-01-01,443,5777,383,1289,38332,117
1992-04-01,410,5853,404,1501,39774,151
1992-07-01,420,6416,446,1539,42246,175
1992-10-01,532,5825,420,1568,38498,129
1993-01-01,433,5724,394,1450,39460,116
1993-04-01,421,6036,462,1668,41356,149
1993-07-01,410,6570,475,1648,42949,163
1993-10-01,512,5675,443,1863,40974,138
1994-01-01,449,5311,421,1468,40162,127
1994-04-01,381,5717,475,1755,41199,159
1994-07-01,423,7000,497,1962,44095,184
1994-10-01,531,6085,476,1833,41745,147
1995-01-01,426,4714,430,1626,41768,131
1995-04-01,408,3939,457,1703,43686,167
1995-07-01,416,6137,417,1733,46022,181
1995-10-01,520,4739,370,1545,42800,145
1996-01-01,409,4275,310,1526,43661,133
1996-04-01,398,5239,358,1593,44707,162
1996-07-01,398,6293,379,1706,46326,184
1996-10-01,507,5575,369,1699,43346,146
1997-01-01,432,4802,330,1511,43938,135
1997-04-01,398,5523,390,1785,45828,171
1997-07-01,406,5708,416,1826,48448,183
1997-10-01,526,4821,383,1830,46096,151
1998-01-01,428,4919,339,1719,46198,141
1998-04-01,397,5809,394,1861,47237,174
1998-07-01,403,5904,412,1956,49041,191
1998-10-01,517,4555,420,2067,46192,157
1999-01-01,435,5198,376,1737,48089,145
1999-04-01,383,5388,401,1944,48227,182
1999-07-01,424,5142,430,2005,49784,198
1999-10-01,521,5517,417,2027,47588,165
2000-01-01,421,5169,416,1835,49320,164
2000-04-01,402,4860,447,2070,50670,199
2000-07-01,414,5185,421,1898,52623,213
2000-10-01,500,4763,379,1652,49350,173
2001-01-01,451,4217,304,1554,51658,177
2001-04-01,380,4959,337,1717,51103,205
2001-07-01,416,5196,385,1679,52226,218
2001-10-01,492,4522,381,1836,50778,185
2002-01-01,428,3843,345,1729,50639,166
2002-04-01,408,4806,405,1992,51486,204
2002-07-01,406,5280,417,2030,53299,228
2002-10-01,506,4709,420,1978,51646,186
2003-01-01,435,4362,387,1831,51415,172
2003-04-01,380,5210,415,1892,51379,204
2003-07-01,421,5258,440,2227,54808,232
2003-10-01,490,4526,413,2090,52453,188
2004-01-01,435,3974,409,1963,54561,173
2004-04-01,390,5027,423,2180,54644,215
2004-07-01,412,NA,428,2307,55915,227
2004-10-01,454,NA,397,2157,52850,190
2005-01-01,416,NA,355,1980,55035,170
2005-04-01,403,NA,435,2481,55117,206
2005-07-01,408,NA,NA,2340,56043,221
2005-10-01,482,NA,NA,2265,54992,180
2006-01-01,438,NA,NA,2027,57112,171
2006-04-01,386,NA,NA,2278,57157,224
2006-07-01,405,NA,NA,2427,58400,233
2006-10-01,491,NA,NA,2451,56249,192
2007-01-01,427,NA,NA,2140,56244,187
2007-04-01,383,NA,NA,2362,55036,234
2007-07-01,394,NA,NA,2536,59806,245
2007-10-01,473,NA,NA,2562,56411,205
2008-01-01,420,NA,NA,2183,59118,194
2008-04-01,390,NA,NA,2558,56660,229
2008-07-01,410,NA,NA,2612,64067,249
2008-10-01,488,NA,NA,2373,59045,203
2009-01-01,415,NA,NA,1963,58368,196
2009-04-01,398,NA,NA,2160,57471,238
2009-07-01,419,NA,NA,2325,58394,252
2009-10-01,488,NA,NA,2273,57336,210
2010-01-01,414,NA,NA,1904,58309,205
2010-04-01,374,NA,NA,2401,58041,236
