ds,unique_id,y
1950-07-01,Total Private,39369
1950-08-01,Total Private,40384
1950-09-01,Total Private,40805
1950-10-01,Total Private,40989
1950-11-01,Total Private,40948
1950-12-01,Total Private,41316
1951-01-01,Total Private,40337
1951-02-01,Total Private,40449
1951-03-01,Total Private,40851
1951-04-01,Total Private,40988
1951-05-01,Total Private,41186
1951-06-01,Total Private,41606
1951-07-01,Total Private,41546
1951-08-01,Total Private,41874
1951-09-01,Total Private,41975
1951-10-01,Total Private,41958
1951-11-01,Total Private,41970
1951-12-01,Total Private,42389
1952-01-01,Total Private,41064
1952-02-01,Total Private,41109
1952-03-01,Total Private,41222
1952-04-01,Total Private,41557
1952-05-01,Total Private,41614
1952-06-01,Total Private,41637
1952-07-01,Total Private,41441
1952-08-01,Total Private,42574
1952-09-01,Total Private,43146
1952-10-01,Total Private,43312
1952-11-01,Total Private,43495
1952-12-01,Total Private,44008
1953-01-01,Total Private,42667
1953-02-01,Total Private,42736
1953-03-01,Total Private,43054
1953-04-01,Total Private,43266
1953-05-01,Total Private,43457
1953-06-01,Total Private,43877
1953-07-01,Total Private,43873
1953-08-01,Total Private,44098
1953-09-01,Total Private,44168
1953-10-01,Total Private,44008
1953-11-01,Total Private,43664
1953-12-01,Total Private,43757
1954-01-01,Total Private,42002
1954-02-01,Total Private,41752
1954-03-01,Total Private,41691
1954-04-01,Total Private,41956
1954-05-01,Total Private,41837
1954-06-01,Total Private,42177
1954-07-01,Total Private,42047
1954-08-01,Total Private,42305
1954-09-01,Total Private,42540
1954-10-01,Total Private,42581
1954-11-01,Total Private,42742
1954-12-01,Total Private,43187
1955-01-01,Total Private,41824
1955-02-01,Total Private,41829
1955-03-01,Total Private,42304
1955-04-01,Total Private,42835
1955-05-01,Total Private,43231
1955-06-01,Total Private,43939
1955-07-01,Total Private,44039
1955-08-01,Total Private,44476
1955-09-01,Total Private,44758
1955-10-01,Total Private,44873
1955-11-01,Total Private,45054
1955-12-01,Total Private,45507
1956-01-01,Total Private,44092
1956-02-01,Total Private,44030
1956-03-01,Total Private,44250
1956-04-01,Total Private,44590
1956-05-01,Total Private,44845
1956-06-01,Total Private,45414
1956-07-01,Total Private,44671
1956-08-01,Total Private,45596
1956-09-01,Total Private,45715
1956-10-01,Total Private,45855
1956-11-01,Total Private,45820
1956-12-01,Total Private,46169
1957-01-01,Total Private,44554
1957-02-01,Total Private,44483
1957-03-01,Total Private,44632
1957-04-01,Total Private,44976
1957-05-01,Total Private,45152
1957-06-01,Total Private,45600
1957-07-01,Total Private,45528
1957-08-01,Total Private,45830
1957-09-01,Total Private,45817
1957-10-01,Total Private,45605
1957-11-01,Total Private,45323
1957-12-01,Total Private,45320
1958-01-01,Total Private,43532
1958-02-01,Total Private,42732
1958-03-01,Total Private,42534
1958-04-01,Total Private,42568
1958-05-01,Total Private,42779
1958-06-01,Total Private,43277
1958-07-01,Total Private,43291
1958-08-01,Total Private,43736
1958-09-01,Total Private,44152
1958-10-01,Total Private,44060
1958-11-01,Total Private,44408
1958-12-01,Total Private,44689
1959-01-01,Total Private,43613
1959-02-01,Total Private,43497
1959-03-01,Total Private,43919
1959-04-01,Total Private,44591
1959-05-01,Total Private,45202
1959-06-01,Total Private,45903
1959-07-01,Total Private,45927
1959-08-01,Total Private,45746
1959-09-01,Total Private,45868
1959-10-01,Total Private,45674
1959-11-01,Total Private,45800
1959-12-01,Total Private,46441
1960-01-01,Total Private,45135
1960-02-01,Total Private,45060
1960-03-01,Total Private,44932
1960-04-01,Total Private,45711
1960-05-01,Total Private,45889
1960-06-01,Total Private,46344
1960-07-01,Total Private,46241
1960-08-01,Total Private,46446
1960-09-01,Total Private,46435
1960-10-01,Total Private,46214
1960-11-01,Total Private,45870
1960-12-01,Total Private,45702
1961-01-01,Total Private,44208
1961-02-01,Total Private,43785
1961-03-01,Total Private,44037
1961-04-01,Total Private,44464
1961-05-01,Total Private,44994
1961-06-01,Total Private,45771
1961-07-01,Total Private,45846
1961-08-01,Total Private,46221
1961-09-01,Total Private,46304
1961-10-01,Total Private,46283
1961-11-01,Total Private,46333
1961-12-01,Total Private,46542
1962-01-01,Total Private,45060
1962-02-01,Total Private,45096
1962-03-01,Total Private,45345
1962-04-01,Total Private,46172
1962-05-01,Total Private,46566
1962-06-01,Total Private,47155
1962-07-01,Total Private,47211
1962-08-01,Total Private,47470
1962-09-01,Total Private,47613
1962-10-01,Total Private,47498
1962-11-01,Total Private,47288
1962-12-01,Total Private,47380
1963-01-01,Total Private,45889
1963-02-01,Total Private,45769
1963-03-01,Total Private,46048
1963-04-01,Total Private,46832
1963-05-01,Total Private,47241
1963-06-01,Total Private,47892
1963-07-01,Total Private,47986
1963-08-01,Total Private,48228
1963-09-01,Total Private,48364
1963-10-01,Total Private,48348
1963-11-01,Total Private,48121
1963-12-01,Total Private,48355
1964-01-01,Total Private,46879
1964-02-01,Total Private,46959
1964-03-01,Total Private,47275
1964-04-01,Total Private,47812
1964-05-01,Total Private,48326
1964-06-01,Total Private,49110
1964-07-01,Total Private,49275
1964-08-01,Total Private,49558
1964-09-01,Total Private,49778
1964-10-01,Total Private,49459
1964-11-01,Total Private,49673
1964-12-01,Total Private,50056
1965-01-01,Total Private,48603
1965-02-01,Total Private,48632
1965-03-01,Total Private,49014
1965-04-01,Total Private,49753
1965-05-01,Total Private,50284
1965-06-01,Total Private,51146
1965-07-01,Total Private,51301
1965-08-01,Total Private,51604
1965-09-01,Total Private,51761
1965-10-01,Total Private,51796
1965-11-01,Total Private,51901
1965-12-01,Total Private,52405
1966-01-01,Total Private,50964
1966-02-01,Total Private,51015
1966-03-01,Total Private,51550
1966-04-01,Total Private,52234
1966-05-01,Total Private,52747
1966-06-01,Total Private,53811
1966-07-01,Total Private,53847
1966-08-01,Total Private,54122
1966-09-01,Total Private,54142
1966-10-01,Total Private,54147
1966-11-01,Total Private,54177
1966-12-01,Total Private,54562
1967-01-01,Total Private,53092
1967-02-01,Total Private,52928
1967-03-01,Total Private,53218
1967-04-01,Total Private,53596
1967-05-01,Total Private,53975
1967-06-01,Total Private,54826
1967-07-01,Total Private,54835
1967-08-01,Total Private,55148
1967-09-01,Total Private,55078
1967-10-01,Total Private,54983
1967-11-01,Total Private,55391
1967-12-01,Total Private,55804
1968-01-01,Total Private,54017
1968-02-01,Total Private,54266
1968-03-01,Total Private,54565
1968-04-01,Total Private,55252
1968-05-01,Total Private,55563
1968-06-01,Total Private,56531
1968-07-01,Total Private,56569
1968-08-01,Total Private,56864
1968-09-01,Total Private,56939
1968-10-01,Total Private,57025
1968-11-01,Total Private,57277
1968-12-01,Total Private,57735
1969-01-01,Total Private,56234
1969-02-01,Total Private,56349
1969-03-01,Total Private,56813
1969-04-01,Total Private,57409
1969-05-01,Total Private,57866
1969-06-01,Total Private,58903
1969-07-01,Total Private,58821
1969-08-01,Total Private,59195
1969-09-01,Total Private,59059
1969-10-01,Total Private,59106
1969-11-01,Total Private,59049
1969-12-01,Total Private,59372
1970-01-01,Total Private,57675
1970-02-01,Total Private,57653
1970-03-01,Total Private,57995
1970-04-01,Total Private,58239
1970-05-01,Total Private,58299
1970-06-01,Total Private,58998
1970-07-01,Total Private,58752
1970-08-01,Total Private,58770
1970-09-01,Total Private,58739
1970-10-01,Total Private,58160
1970-11-01,Total Private,58006
1970-12-01,Total Private,58532
1971-01-01,Total Private,56979
1971-02-01,Total Private,56791
1971-03-01,Total Private,57094
1971-04-01,Total Private,57673
1971-05-01,Total Private,58147
1971-06-01,Total Private,58894
1971-07-01,Total Private,58664
1971-08-01,Total Private,58868
1971-09-01,Total Private,59100
1971-10-01,Total Private,58995
1971-11-01,Total Private,59173
1971-12-01,Total Private,59499
1972-01-01,Total Private,58149
1972-02-01,Total Private,58180
1972-03-01,Total Private,58710
1972-04-01,Total Private,59343
1972-05-01,Total Private,59927
1972-06-01,Total Private,60998
1972-07-01,Total Private,60540
1972-08-01,Total Private,61172
1972-09-01,Total Private,61288
1972-10-01,Total Private,61611
1972-11-01,Total Private,61887
1972-12-01,Total Private,62194
1973-01-01,Total Private,60862
1973-02-01,Total Private,61078
1973-03-01,Total Private,61560
1973-04-01,Total Private,62146
1973-05-01,Total Private,62699
1973-06-01,Total Private,63650
1973-07-01,Total Private,63378
1973-08-01,Total Private,63870
1973-09-01,Total Private,64050
1973-10-01,Total Private,64253
1973-11-01,Total Private,64484
1973-12-01,Total Private,64564
1974-01-01,Total Private,62905
1974-02-01,Total Private,62822
1974-03-01,Total Private,63080
1974-04-01,Total Private,63623
1974-05-01,Total Private,64210
1974-06-01,Total Private,64989
1974-07-01,Total Private,64717
1974-08-01,Total Private,64952
1974-09-01,Total Private,64930
1974-10-01,Total Private,64814
1974-11-01,Total Private,64331
1974-12-01,Total Private,63653
1975-01-01,Total Private,61525
1975-02-01,Total Private,60809
1975-03-01,Total Private,60788
1975-04-01,Total Private,61114
1975-05-01,Total Private,61724
1975-06-01,Total Private,62369
1975-07-01,Total Private,62321
1975-08-01,Total Private,62971
1975-09-01,Total Private,63178
1975-10-01,Total Private,63293
1975-11-01,Total Private,63330
1975-12-01,Total Private,63575
1976-01-01,Total Private,62377
1976-02-01,Total Private,62420
1976-03-01,Total Private,62957
1976-04-01,Total Private,63817
1976-05-01,Total Private,64326
1976-06-01,Total Private,65076
1976-07-01,Total Private,64992
1976-08-01,Total Private,65375
1976-09-01,Total Private,65671
1976-10-01,Total Private,65474
1976-11-01,Total Private,65674
1976-12-01,Total Private,65857
1977-01-01,Total Private,64471
1977-02-01,Total Private,64495
1977-03-01,Total Private,65284
1977-04-01,Total Private,66219
1977-05-01,Total Private,66989
1977-06-01,Total Private,67988
1977-07-01,Total Private,67980
1977-08-01,Total Private,68381
1977-09-01,Total Private,68814
1977-10-01,Total Private,68871
1977-11-01,Total Private,69145
1977-12-01,Total Private,69375
1978-01-01,Total Private,67831
1978-02-01,Total Private,67866
1978-03-01,Total Private,68719
1978-04-01,Total Private,69970
1978-05-01,Total Private,70718
1978-06-01,Total Private,71809
1978-07-01,Total Private,71727
1978-08-01,Total Private,72187
1978-09-01,Total Private,72430
1978-10-01,Total Private,72609
1978-11-01,Total Private,72998
1978-12-01,Total Private,73309
1979-01-01,Total Private,71724
1979-02-01,Total Private,71731
1979-03-01,Total Private,72540
1979-04-01,Total Private,73047
1979-05-01,Total Private,73824
1979-06-01,Total Private,74746
1979-07-01,Total Private,74469
1979-08-01,Total Private,74652
1979-09-01,Total Private,74824
1979-10-01,Total Private,74874
1979-11-01,Total Private,74906
1979-12-01,Total Private,75046
1980-01-01,Total Private,73443
1980-02-01,Total Private,73310
1980-03-01,Total Private,73711
1980-04-01,Total Private,73858
1980-05-01,Total Private,73975
1980-06-01,Total Private,74299
1980-07-01,Total Private,73827
1980-08-01,Total Private,74297
1980-09-01,Total Private,74555
1980-10-01,Total Private,74662
1980-11-01,Total Private,74867
1980-12-01,Total Private,75091
1981-01-01,Total Private,73487
1981-02-01,Total Private,73393
1981-03-01,Total Private,73894
1981-04-01,Total Private,74585
1981-05-01,Total Private,75115
1981-06-01,Total Private,75977
1981-07-01,Total Private,75883
1981-08-01,Total Private,76124
1981-09-01,Total Private,76188
1981-10-01,Total Private,75892
1981-11-01,Total Private,75584
1981-12-01,Total Private,75277
1982-01-01,Total Private,73292
1982-02-01,Total Private,73154
1982-03-01,Total Private,73351
1982-04-01,Total Private,73675
1982-05-01,Total Private,74143
1982-06-01,Total Private,74518
1982-07-01,Total Private,74155
1982-08-01,Total Private,74153
1982-09-01,Total Private,74034
1982-10-01,Total Private,73527
1982-11-01,Total Private,73273
1982-12-01,Total Private,73198
1983-01-01,Total Private,71708
1983-02-01,Total Private,71477
1983-03-01,Total Private,72004
1983-04-01,Total Private,72895
1983-05-01,Total Private,73691
1983-06-01,Total Private,74713
1983-07-01,Total Private,75000
1983-08-01,Total Private,74874
1983-09-01,Total Private,75980
1983-10-01,Total Private,76107
1983-11-01,Total Private,76331
1983-12-01,Total Private,76627
1984-01-01,Total Private,75370
1984-02-01,Total Private,75652
1984-03-01,Total Private,76300
1984-04-01,Total Private,77238
1984-05-01,Total Private,78067
1984-06-01,Total Private,79088
1984-07-01,Total Private,79205
1984-08-01,Total Private,79583
1984-09-01,Total Private,79835
1984-10-01,Total Private,79923
1984-11-01,Total Private,80135
1984-12-01,Total Private,80270
1985-01-01,Total Private,78724
1985-02-01,Total Private,78642
1985-03-01,Total Private,79331
1985-04-01,Total Private,80138
1985-05-01,Total Private,80931
1985-06-01,Total Private,81705
1985-07-01,Total Private,81608
1985-08-01,Total Private,82011
1985-09-01,Total Private,82108
1985-10-01,Total Private,82144
1985-11-01,Total Private,82249
1985-12-01,Total Private,82404
1986-01-01,Total Private,80695
1986-02-01,Total Private,80562
1986-03-01,Total Private,81050
1986-04-01,Total Private,81891
1986-05-01,Total Private,82551
1986-06-01,Total Private,83127
1986-07-01,Total Private,83280
1986-08-01,Total Private,83596
1986-09-01,Total Private,83675
1986-10-01,Total Private,83706
1986-11-01,Total Private,83796
1986-12-01,Total Private,84007
1987-01-01,Total Private,82305
1987-02-01,Total Private,82353
1987-03-01,Total Private,82961
1987-04-01,Total Private,83930
1987-05-01,Total Private,84690
1987-06-01,Total Private,85549
1987-07-01,Total Private,85695
1987-08-01,Total Private,86087
1987-09-01,Total Private,86119
1987-10-01,Total Private,86403
1987-11-01,Total Private,86584
1987-12-01,Total Private,86846
1988-01-01,Total Private,85039
1988-02-01,Total Private,85291
1988-03-01,Total Private,85894
1988-04-01,Total Private,86798
1988-05-01,Total Private,87518
1988-06-01,Total Private,88617
1988-07-01,Total Private,88704
1988-08-01,Total Private,89004
1988-09-01,Total Private,88975
1988-10-01,Total Private,89119
1988-11-01,Total Private,89397
1988-12-01,Total Private,89703
1989-01-01,Total Private,88003
1989-02-01,Total Private,88081
1989-03-01,Total Private,88631
1989-04-01,Total Private,89427
1989-05-01,Total Private,90054
1989-06-01,Total Private,90939
1989-07-01,Total Private,90843
1989-08-01,Total Private,91042
1989-09-01,Total Private,90963
1989-10-01,Total Private,90958
1989-11-01,Total Private,91240
1989-12-01,Total Private,91302
1990-01-01,Total Private,89455
1990-02-01,Total Private,89598
1990-03-01,Total Private,90053
1990-04-01,Total Private,90634
1990-05-01,Total Private,91308
1990-06-01,Total Private,92209
1990-07-01,Total Private,92008
1990-08-01,Total Private,92152
1990-09-01,Total Private,91853
1990-10-01,Total Private,91544
1990-11-01,Total Private,91346
1990-12-01,Total Private,91189
1991-01-01,Total Private,88987
1991-02-01,Total Private,88617
1991-03-01,Total Private,88819
1991-04-01,Total Private,89229
1991-05-01,Total Private,89866
1991-06-01,Total Private,90616
1991-07-01,Total Private,90438
1991-08-01,Total Private,90720
1991-09-01,Total Private,90543
1991-10-01,Total Private,90364
1991-11-01,Total Private,90222
1991-12-01,Total Private,90152
1992-01-01,Total Private,88085
1992-02-01,Total Private,88011
1992-03-01,Total Private,88407
1992-04-01,Total Private,89240
1992-05-01,Total Private,90020
1992-06-01,Total Private,90808
1992-07-01,Total Private,90778
1992-08-01,Total Private,90965
1992-09-01,Total Private,90864
1992-10-01,Total Private,90949
1992-11-01,Total Private,90987
1992-12-01,Total Private,91071
1993-01-01,Total Private,89264
1993-02-01,Total Private,89523
1993-03-01,Total Private,89855
1993-04-01,Total Private,90852
1993-05-01,Total Private,91775
1993-06-01,Total Private,92655
1993-07-01,Total Private,92819
1993-08-01,Total Private,93108
1993-09-01,Total Private,93110
1993-10-01,Total Private,93277
1993-11-01,Total Private,93467
1993-12-01,Total Private,93651
1994-01-01,Total Private,91752
1994-02-01,Total Private,91988
1994-03-01,Total Private,92823
1994-04-01,Total Private,93891
1994-05-01,Total Private,94840
1994-06-01,Total Private,95938
1994-07-01,Total Private,96106
1994-08-01,Total Private,96531
1994-09-01,Total Private,96584
1994-10-01,Total Private,96700
1994-11-01,Total Private,97079
1994-12-01,Total Private,97252
1995-01-01,Total Private,95333
1995-02-01,Total Private,95615
1995-03-01,Total Private,96263
1995-04-01,Total Private,97097
1995-05-01,Total Private,97831
1995-06-01,Total Private,98845
1995-07-01,Total Private,98757
1995-08-01,Total Private,99150
1995-09-01,Total Private,99078
1995-10-01,Total Private,99145
1995-11-01,Total Private,99267
1995-12-01,Total Private,99316
1996-01-01,Total Private,97054
1996-02-01,Total Private,97585
1996-03-01,Total Private,98257
1996-04-01,Total Private,99120
1996-05-01,Total Private,100196
1996-06-01,Total Private,101214
1996-07-01,Total Private,101309
1996-08-01,Total Private,101695
1996-09-01,Total Private,101459
1996-10-01,Total Private,101683
1996-11-01,Total Private,101954
1996-12-01,Total Private,102038
1997-01-01,Total Private,99915
1997-02-01,Total Private,100401
1997-03-01,Total Private,101173
1997-04-01,Total Private,102161
1997-05-01,Total Private,103203
1997-06-01,Total Private,104156
1997-07-01,Total Private,104296
1997-08-01,Total Private,104475
1997-09-01,Total Private,104496
1997-10-01,Total Private,104828
1997-11-01,Total Private,105073
1997-12-01,Total Private,105267
1998-01-01,Total Private,103161
1998-02-01,Total Private,103549
1998-03-01,Total Private,104166
1998-04-01,Total Private,105208
1998-05-01,Total Private,106204
1998-06-01,Total Private,107205
1998-07-01,Total Private,107210
1998-08-01,Total Private,107533
1998-09-01,Total Private,107337
1998-10-01,Total Private,107589
1998-11-01,Total Private,107796
1998-12-01,Total Private,108012
1999-01-01,Total Private,105713
1999-02-01,Total Private,106267
1999-03-01,Total Private,106854
1999-04-01,Total Private,107956
1999-05-01,Total Private,108801
1999-06-01,Total Private,109840
1999-07-01,Total Private,110034
1999-08-01,Total Private,110162
1999-09-01,Total Private,109914
1999-10-01,Total Private,110303
1999-11-01,Total Private,110597
1999-12-01,Total Private,110751
2000-01-01,Total Private,108514
2000-02-01,Total Private,108786
2000-03-01,Total Private,109644
2000-04-01,Total Private,110571
2000-05-01,Total Private,111175
2000-06-01,Total Private,112314
2000-07-01,Total Private,112263
2000-08-01,Total Private,112377
2000-09-01,Total Private,112141
2000-10-01,Total Private,112213
2000-11-01,Total Private,112421
2000-12-01,Total Private,112395
2001-01-01,Total Private,109928
2001-02-01,Total Private,110140
2001-03-01,Total Private,110603
2001-04-01,Total Private,110962
2001-05-01,Total Private,111624
2001-06-01,Total Private,112303
2001-07-01,Total Private,111897
2001-08-01,Total Private,111827
2001-09-01,Total Private,111086
2001-10-01,Total Private,110771
2001-11-01,Total Private,110423
2001-12-01,Total Private,110065
2002-01-01,Total Private,107591
2002-02-01,Total Private,107651
2002-03-01,Total Private,108133
2002-04-01,Total Private,108712
2002-05-01,Total Private,109382
2002-06-01,Total Private,110169
2002-07-01,Total Private,109904
2002-08-01,Total Private,109960
2002-09-01,Total Private,109510
2002-10-01,Total Private,109668
2002-11-01,Total Private,109651
2002-12-01,Total Private,109302
2003-01-01,Total Private,107035
2003-02-01,Total Private,107069
2003-03-01,Total Private,107473
2003-04-01,Total Private,108148
2003-05-01,Total Private,108923
2003-06-01,Total Private,109652
2003-07-01,Total Private,109453
2003-08-01,Total Private,109551
2003-09-01,Total Private,109280
2003-10-01,Total Private,109530
2003-11-01,Total Private,109586
2003-12-01,Total Private,109471
2004-01-01,Total Private,107283
2004-02-01,Total Private,107491
2004-03-01,Total Private,108386
2004-04-01,Total Private,109485
2004-05-01,Total Private,110409
2004-06-01,Total Private,111299
2004-07-01,Total Private,111249
2004-08-01,Total Private,111249
2004-09-01,Total Private,110920
2004-10-01,Total Private,111375
2004-11-01,Total Private,111476
2004-12-01,Total Private,111368
2005-01-01,Total Private,109086
2005-02-01,Total Private,109487
2005-03-01,Total Private,110230
2005-04-01,Total Private,111429
2005-05-01,Total Private,112237
2005-06-01,Total Private,113352
2005-07-01,Total Private,113361
2005-08-01,Total Private,113579
2005-09-01,Total Private,113182
2005-10-01,Total Private,113434
2005-11-01,Total Private,113840
2005-12-01,Total Private,113748
2006-01-01,Total Private,111593
2006-02-01,Total Private,112051
2006-03-01,Total Private,112919
2006-04-01,Total Private,113825
2006-05-01,Total Private,114640
2006-06-01,Total Private,115574
2006-07-01,Total Private,115494
2006-08-01,Total Private,115652
2006-09-01,Total Private,115230
2006-10-01,Total Private,115425
2006-11-01,Total Private,115676
2006-12-01,Total Private,115670
2007-01-01,Total Private,113360
2007-02-01,Total Private,113581
2007-03-01,Total Private,114373
2007-04-01,Total Private,115162
2007-05-01,Total Private,116088
2007-06-01,Total Private,116999
2007-07-01,Total Private,116815
2007-08-01,Total Private,116813
2007-09-01,Total Private,116369
2007-10-01,Total Private,116541
2007-11-01,Total Private,116711
2007-12-01,Total Private,116559
2008-01-01,Total Private,114018
2008-02-01,Total Private,114051
2008-03-01,Total Private,114538
2008-04-01,Total Private,115065
2008-05-01,Total Private,115607
2008-06-01,Total Private,116185
2008-07-01,Total Private,115857
2008-08-01,Total Private,115658
2008-09-01,Total Private,114775
2008-10-01,Total Private,114505
2008-11-01,Total Private,113710
2008-12-01,Total Private,112815
2009-01-01,Total Private,109571
2009-02-01,Total Private,108938
2009-03-01,Total Private,108715
2009-04-01,Total Private,108765
2009-05-01,Total Private,109107
2009-06-01,Total Private,109386
2009-07-01,Total Private,109073
2009-08-01,Total Private,108882
2009-09-01,Total Private,108298
2009-10-01,Total Private,108283
2009-11-01,Total Private,108229
2009-12-01,Total Private,107850
2010-01-01,Total Private,105444
2010-02-01,Total Private,105490
2010-03-01,Total Private,106176
2010-04-01,Total Private,107220
2010-05-01,Total Private,107931
2010-06-01,Total Private,108710
2010-07-01,Total Private,108784
2010-08-01,Total Private,108936
2010-09-01,Total Private,108568
2010-10-01,Total Private,108984
2010-11-01,Total Private,109180
2010-12-01,Total Private,109034
2011-01-01,Total Private,106650
2011-02-01,Total Private,107087
2011-03-01,Total Private,107904
2011-04-01,Total Private,109098
2011-05-01,Total Private,109874
2011-06-01,Total Private,110795
2011-07-01,Total Private,110848
2011-08-01,Total Private,111022
2011-09-01,Total Private,110788
2011-10-01,Total Private,111199
2011-11-01,Total Private,111452
2011-12-01,Total Private,111428
2012-01-01,Total Private,109303
2012-02-01,Total Private,109796
2012-03-01,Total Private,110623
2012-04-01,Total Private,111505
2012-05-01,Total Private,112367
2012-06-01,Total Private,113155
2012-07-01,Total Private,113171
2012-08-01,Total Private,113345
2012-09-01,Total Private,113004
2012-10-01,Total Private,113391
2012-11-01,Total Private,113681
2012-12-01,Total Private,113719
2013-01-01,Total Private,111349
2013-02-01,Total Private,111903
2013-03-01,Total Private,112645
2013-04-01,Total Private,113633
2013-05-01,Total Private,114574
2013-06-01,Total Private,115441
2013-07-01,Total Private,115528
2013-08-01,Total Private,115735
2013-09-01,Total Private,115368
2013-10-01,Total Private,115826
2013-11-01,Total Private,116229
2013-12-01,Total Private,116113
2014-01-01,Total Private,113809
2014-02-01,Total Private,114119
2014-03-01,Total Private,114962
2014-04-01,Total Private,116051
2014-05-01,Total Private,117010
2014-06-01,Total Private,117987
2014-07-01,Total Private,118155
2014-08-01,Total Private,118331
2014-09-01,Total Private,118002
2014-10-01,Total Private,118559
2014-11-01,Total Private,118910
2014-12-01,Total Private,119019
2015-01-01,Total Private,116688
2015-02-01,Total Private,117084
2015-03-01,Total Private,117751
2015-04-01,Total Private,118874
2015-05-01,Total Private,119859
2015-06-01,Total Private,120751
2015-07-01,Total Private,120963
2015-08-01,Total Private,120966
2015-09-01,Total Private,120524
2015-10-01,Total Private,121199
2015-11-01,Total Private,121509
2015-12-01,Total Private,121603
2016-01-01,Total Private,119108
2016-02-01,Total Private,119506
2016-03-01,Total Private,120262
2016-04-01,Total Private,121330
2016-05-01,Total Private,122017
2016-06-01,Total Private,123116
2016-07-01,Total Private,123248
2016-08-01,Total Private,123299
