State,Industry,Series ID,Month,Turnover
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-01-01,8.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-02-01,7.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-03-01,9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-04-01,9.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-05-01,9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-06-01,8.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-07-01,8.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-08-01,8.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-09-01,9.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-10-01,10.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-11-01,9.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1987-12-01,12.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-01-01,8.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-02-01,8.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-03-01,9.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-04-01,9.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-05-01,9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-06-01,10.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-07-01,10.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-08-01,11.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-09-01,11.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-10-01,11
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-11-01,11.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1988-12-01,11.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-01-01,9.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-02-01,8.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-03-01,9.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-04-01,8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-05-01,9.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-06-01,7.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-07-01,8.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-08-01,8.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-09-01,8.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-10-01,7.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-11-01,8.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1989-12-01,8.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-01-01,8.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-02-01,8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-03-01,9.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-04-01,8.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-05-01,9.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-06-01,9.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-07-01,10.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-08-01,9.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-09-01,12.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-10-01,11.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-11-01,11.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1990-12-01,11.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-01-01,9.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-02-01,11.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-03-01,9.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-04-01,10
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-05-01,10.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-06-01,10
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-07-01,10.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-08-01,11.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-09-01,12.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-10-01,14.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-11-01,14.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1991-12-01,14
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-01-01,10.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-02-01,9.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-03-01,12.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-04-01,12.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-05-01,12.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-06-01,13
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-07-01,12.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-08-01,12.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-09-01,12.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-10-01,13.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-11-01,13.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1992-12-01,14.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-01-01,10.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-02-01,11.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-03-01,12.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-04-01,11.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-05-01,11.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-06-01,9.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-07-01,12.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-08-01,12.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-09-01,12
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-10-01,16.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-11-01,14.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1993-12-01,20.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-01-01,15.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-02-01,14.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-03-01,18
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-04-01,15.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-05-01,16.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-06-01,15.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-07-01,15.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-08-01,16.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-09-01,15.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-10-01,15.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-11-01,17
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1994-12-01,18.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-01-01,12.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-02-01,14.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-03-01,18.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-04-01,15.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-05-01,17.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-06-01,15.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-07-01,14.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-08-01,14.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-09-01,14.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-10-01,16.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-11-01,15
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1995-12-01,15.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-01-01,12
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-02-01,12.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-03-01,14.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-04-01,13.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-05-01,14.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-06-01,13.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-07-01,13.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-08-01,13.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-09-01,13.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-10-01,15
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-11-01,16
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1996-12-01,15.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-01-01,13.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-02-01,13.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-03-01,12.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-04-01,13.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-05-01,15
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-06-01,13
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-07-01,14.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-08-01,12.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-09-01,12.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-10-01,14
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-11-01,13.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1997-12-01,13.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-01-01,12.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-02-01,12.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-03-01,13.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-04-01,13.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-05-01,14.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-06-01,13.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-07-01,12.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-08-01,13.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-09-01,14.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-10-01,16.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-11-01,15.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1998-12-01,17.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-01-01,14
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-02-01,13.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-03-01,15.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-04-01,15.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-05-01,15.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-06-01,14.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-07-01,14.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-08-01,14.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-09-01,15
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-10-01,14.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-11-01,16.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1999-12-01,15.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-01-01,13.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-02-01,13.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-03-01,14.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-04-01,15.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-05-01,15
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-06-01,17.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-07-01,16.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-08-01,16.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-09-01,18.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-10-01,19.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-11-01,19.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2000-12-01,19.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-01-01,19.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-02-01,18
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-03-01,20.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-04-01,23.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-05-01,23.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-06-01,23
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-07-01,21.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-08-01,21.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-09-01,21.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-10-01,22.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-11-01,22.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2001-12-01,23.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-01-01,20.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-02-01,20.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-03-01,22
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-04-01,20.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-05-01,20.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-06-01,20.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-07-01,20.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-08-01,21
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-09-01,21
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-10-01,23.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-11-01,23.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2002-12-01,24.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-01-01,19.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-02-01,20.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-03-01,24.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-04-01,24
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-05-01,25.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-06-01,25.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-07-01,26.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-08-01,26.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-09-01,25.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-10-01,22.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-11-01,22.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2003-12-01,21.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-01-01,14.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-02-01,18.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-03-01,18.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-04-01,18.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-05-01,20.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-06-01,19.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-07-01,20.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-08-01,18.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-09-01,18.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-10-01,20.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-11-01,18.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2004-12-01,18.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-01-01,15.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-02-01,14.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-03-01,14.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-04-01,18.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-05-01,17.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-06-01,17.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-07-01,17.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-08-01,15
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-09-01,14.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-10-01,14.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-11-01,13.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2005-12-01,13.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-01-01,10.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-02-01,11.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-03-01,12.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-04-01,13.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-05-01,14.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-06-01,12.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-07-01,13.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-08-01,14.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-09-01,15.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-10-01,22
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-11-01,18.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2006-12-01,21.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-01-01,16.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-02-01,16.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-03-01,18.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-04-01,20.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-05-01,23.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-06-01,23.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-07-01,23.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-08-01,25.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-09-01,24.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-10-01,25.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-11-01,25.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2007-12-01,26.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-01-01,22.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-02-01,27.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-03-01,25.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-04-01,24.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-05-01,25.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-06-01,24.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-07-01,24.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-08-01,25.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-09-01,23.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-10-01,28.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-11-01,27.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2008-12-01,27.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-01-01,25.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-02-01,28.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-03-01,30.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-04-01,29.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-05-01,32.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-06-01,30.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-07-01,33.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-08-01,34.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-09-01,34.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-10-01,32.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-11-01,32.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2009-12-01,34.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,2010-01-01,27.8
